"orderid","employee","order_date","required_date","shipped_date","shipper","freight","customer","city","country","product","category","current_price","ordered_price","quantity","discount","total_sale_price"
10248,"Steven Buchanan","1996-07-04","1996-08-01","1996-07-16","Federal Shipping","32.38","Vins et alcools Chevalier","Reims","France","Queso Cabrales","Dairy Products","21","14",12,"0","168.00"
10248,"Steven Buchanan","1996-07-04","1996-08-01","1996-07-16","Federal Shipping","32.38","Vins et alcools Chevalier","Reims","France","Singaporean Hokkien Fried Mee","Grains/Cereals","14","9.8",10,"0","98.00"
10248,"Steven Buchanan","1996-07-04","1996-08-01","1996-07-16","Federal Shipping","32.38","Vins et alcools Chevalier","Reims","France","Mozzarella di Giovanni","Dairy Products","34.8","34.8",5,"0","174.00"
10249,"Michael Suyama","1996-07-05","1996-08-16","1996-07-10","Speedy Express","11.61","Toms Spezialitäten","Münster","Germany","Tofu","Produce","23.25","18.6",9,"0","167.40"
10249,"Michael Suyama","1996-07-05","1996-08-16","1996-07-10","Speedy Express","11.61","Toms Spezialitäten","Münster","Germany","Manjimup Dried Apples","Produce","53","42.4",40,"0","1696.00"
10250,"Margaret Peacock","1996-07-08","1996-08-05","1996-07-12","United Package","65.83","Hanari Carnes","Rio de Janeiro","Brazil","Jack's New England Clam Chowder","Seafood","9.65","7.7",10,"0","77.00"
10250,"Margaret Peacock","1996-07-08","1996-08-05","1996-07-12","United Package","65.83","Hanari Carnes","Rio de Janeiro","Brazil","Manjimup Dried Apples","Produce","53","42.4",35,"0.15","1261.40"
10250,"Margaret Peacock","1996-07-08","1996-08-05","1996-07-12","United Package","65.83","Hanari Carnes","Rio de Janeiro","Brazil","Louisiana Fiery Hot Pepper Sauce","Condiments","21.05","16.8",15,"0.15","214.20"
10251,"Janet Leverling","1996-07-08","1996-08-05","1996-07-15","Speedy Express","41.34","Victuailles en stock","Lyon","France","Gustaf's Knäckebröd","Grains/Cereals","21","16.8",6,"0.05","95.76"
10251,"Janet Leverling","1996-07-08","1996-08-05","1996-07-15","Speedy Express","41.34","Victuailles en stock","Lyon","France","Ravioli Angelo","Grains/Cereals","19.5","15.6",15,"0.05","222.30"
10251,"Janet Leverling","1996-07-08","1996-08-05","1996-07-15","Speedy Express","41.34","Victuailles en stock","Lyon","France","Louisiana Fiery Hot Pepper Sauce","Condiments","21.05","16.8",20,"0","336.00"
10252,"Margaret Peacock","1996-07-09","1996-08-06","1996-07-11","United Package","51.3","Suprêmes délices","Charleroi","Belgium","Sir Rodney's Marmalade","Confections","81","64.8",40,"0.05","2462.40"
10252,"Margaret Peacock","1996-07-09","1996-08-06","1996-07-11","United Package","51.3","Suprêmes délices","Charleroi","Belgium","Geitost","Dairy Products","2.5","2",25,"0.05","47.50"
10252,"Margaret Peacock","1996-07-09","1996-08-06","1996-07-11","United Package","51.3","Suprêmes délices","Charleroi","Belgium","Camembert Pierrot","Dairy Products","34","27.2",40,"0","1088.00"
10253,"Janet Leverling","1996-07-10","1996-07-24","1996-07-16","United Package","58.17","Hanari Carnes","Rio de Janeiro","Brazil","Gorgonzola Telino","Dairy Products","12.5","10",20,"0","200.00"
10253,"Janet Leverling","1996-07-10","1996-07-24","1996-07-16","United Package","58.17","Hanari Carnes","Rio de Janeiro","Brazil","Chartreuse verte","Beverages","18","14.4",42,"0","604.80"
10253,"Janet Leverling","1996-07-10","1996-07-24","1996-07-16","United Package","58.17","Hanari Carnes","Rio de Janeiro","Brazil","Maxilaku","Confections","20","16",40,"0","640.00"
10254,"Steven Buchanan","1996-07-11","1996-08-08","1996-07-23","United Package","22.98","Chop-suey Chinese","Bern","Switzerland","Guaraná Fantástica","Beverages","4.5","3.6",15,"0.15","45.90"
10254,"Steven Buchanan","1996-07-11","1996-08-08","1996-07-23","United Package","22.98","Chop-suey Chinese","Bern","Switzerland","Pâté chinois","Meat/Poultry","24","19.2",21,"0.15","342.72"
10254,"Steven Buchanan","1996-07-11","1996-08-08","1996-07-23","United Package","22.98","Chop-suey Chinese","Bern","Switzerland","Longlife Tofu","Produce","10","8",21,"0","168.00"
